GULL,GCU,,,contact@gcu-squad.org,,,,Paris,
GULL,Sequanux,,,contact@sequanux.org,,,,Besançon,
GULL,ULLM,,,contact@ullm.org,,,,Martigues,
GULL,MLUG,,,contact@mlug.ca,,,,Montréal,
GULL,Perpinux,,,contact@perpinux.org,,,,Perpignan,
GULL,LINUQ,,,contact@linuq.org,,,,Québec,
GULL,"Linux-Meetup Montréal",,,contact@meetup.com/fr-FR/Linux-Montreal/,,,,Montréal,
GULL,"Ubuntu Québec",,,contact@ubuntu-qc.org,,,,,
GULL,GULAT,,,contact@facebook.com/pages/Linux-Abitibi/146881525376518,,,,,
GULL,Clibre,,,contact@clibre.uqam.ca,,,,Montréal,
GULL,"Club Linux-Gatineau.ORG",,,contact@linux-gatineau.org,,,,"Ottawa-Gatineau (Canada)",
GULL,"Club Cedille",,,contact@cedille.etsmtl.ca,,,,Montréal,
GULL,"Club Linux Atomic",,,contact@clublinuxatomic.org,,,,,
GULL,FACIL,,,contact@facil.qc.ca,,,,Montréal,
GULL,"GULL de Haguenau",,,contact@gull-haguenau.org,,,,Haguenau,
GULL,"(3L) - Logiciels Libres en liberté",,,contact@libreenliberte.ca,,,,Montréal,
GULL,LinUEVE,,,contact@linueve.org,,,,Evry,
GULL,DakarLUG,,,contact@dakarlug.org,,,,Dakar,
GULL,LuLug,,,contact@lulugtg.org,,,,Lomé,
GULL,LibertySoft,,,contact@facebook.com/LibertySoft/,,,,Tunis,
GULL,ALIS,,,contact@alis.asso.ma,,,,Tiznit,
GULL,ANUL,,,contact@?.?,,,,Tahoua,
GULL,CLARIST-RDC,,,contact@clarist-rdc.lescigales.org,,,,,
GULL,LUGM,,,contact@lugm.org,,,,,
GULL,FOSSFA,,,contact@fossfa.net,,,,,
GULL,AI3L,,,contact@ai3l.ci,,,,,
GULL,/dev/var,,,contact@devvar.org,,,,Toulon,
GULL,GNUsquetaires,,,contact@gnusquetaires.toile-libre.org,,,,Auch,
GULL,Libres-Ailé(e)s,,,contact@librezele.fr.cr,,,,Arrigas,
GULL,"Linux en Corrèze",,,contact@linux-en-correze.fr,,,,,
GULL,"Le CLUG",,,contact@leclug.free.fr,,,,Contrexéville,
GULL,"ALIS 44",,,contact@alis44.org,,,,Nantes,
GULL,Linux07,,,contact@linux07.aufildudoux.fr,,,,Lamastre,
GULL,INP-net,,,contact@inp-net.eu.org,,,,Toulouse,
GULL,"GPL - Groupe des Pingouins  Libres",,,contact@if.insa-lyon.fr/vie-etudiante/les-associations,,,,Lyon,
GULL,"En un CLIC",,,contact@enunclic-cappel.fr,,,,Cappel,
GULL,GUGL-77,,,contact@gugl-77.xooit.fr,,,,,
GULL,ALIS44110,,,contact@alis44110.solidarite-locale.fr,,,,Châteaubriant,
GULL,"Club Linux",,,contact@mjc-chevalblanc.fr/-club-linux-.html,,,,Wintzenheim,
GULL,LAILA,,,contact@rama01.free.fr/3/laila.htm,,,,Troyes,
GULL,"Journée du Libre à Sarrebourg",,,contact@jdl-sarrebourg.fr,,,,Sarrebourg,
GULL,"Libre à Nous",,,contact@libreanous.org,,,,Rouen,
GULL,ardechelibre[.org],,,contact@ardechelibre.org,,,,,
GULL,Linux-Kunheim,,,contact@linux-kunheim.fr,,,,Kunheim,
GULL,AI2L,,,contact@ai2l.org,,,,Montréal,
GULL,Chantier-Libre,,,contact@chantierlibre.org,,,,Roanne,
GULL,Ailes-52,,,contact@ailes-52.org,,,,,
GULL,Dcalk,,,contact@dcalk.org,,,,Paris,
GULL,Conetic,,,contact@conetic.fr,,,,Chartres,
GULL,Gevaulug,,,contact@gevaulug.fr,,,,Mende,
GULL,Art-logic,,,contact@art-logic.info/fab-labs-art-labs,,,,"Le châble",
GULL,infothema,,,contact@infothema.fr,,,,Bégard,
GULL,Marmottux,,,contact@marmottux.org,,,,Saint-Jean-de-Maurienne,
GULL,"Tarare Micro Club Informatique",,,contact@tmci.tarare.com,,,,Tarare,
GULL,"Gull de Niort",,,contact@gull-niort.tuxfamily.org,,,,Niort,
GULL,Net'Entr@ide,,,contact@net-entraide.org,,,,Laval,
GULL,SNALIS,,,contact@snalis.org,,,,"Saint Nazaire",
GULL,Val-Libre,,,contact@wiki.vallibre.fr,,,,Valenciennes,
GULL,Ctrl-A,,,contact@ctrl-a.fr,,,,Royère-de-Vassivière,
GULL,ACDILL,,,contact@linux-creuse.org,,,,,
GULL,Bourguinux,,,contact@bourguinux.org,,,,,
GULL,Défis,,,contact@defis.info,,,,Lanester,
GULL,Blogul,,,contact@blogul.fr,,,,Blois,
GULL,Goelug,,,contact@goelug.org,,,,"Le Havre",
GULL,Manchix,,,contact@manchix.calvix.org,,,,Cherbourg,
GULL,"Libre 974",,,contact@libre974.re,,,,,
GULL,ADEC,,,contact@adec.fr,,,,"La Walck",
GULL,ATILLA,,,contact@atilla.org,,,,Cergy-Pontoise,
GULL,GwadaLUG,,,contact@gwadalug.org,,,,,
GULL,"Le Libre Vanvéen",,,contact@asso.fr,,,,Vanves,
GULL,StarinuX,,,contact@starinux.org,,,,Courbevoie,
GULL,Club*Nix,,,contact@clubnix.fr,,,,Noisy-le-Grand,
GULL,ELF,,,contact@efrei-linux.fr,,,,Villejuif,
GULL,ICAUNUX,,,contact@icaunux.tuxfamily.org,,,,Auxerre,
GULL,CIL,,,contact@cil-gometz.perso.sfr.fr,,,,Gometz-le-Châtel,
GULL,Linux-sur-Yvette,,,contact@linux-sur-yvette.org,,,,Villebon-sur-Yvette,
GULL,"ISEN Open Source",,,contact@facebook.com/ISENOS,,,,Toulon,
GULL,AviGNU,,,contact@avignu.com,,,,Avignon,
GULL,APP3L,,,contact@app3l.org,,,,Poitiers,
GULL,Alternatives87,,,contact@alternatives87.eu.org,,,,Limoges,
GULL,GEBULL,,,contact@gebull.org,,,,Bressuire,
GULL,Linux-Tarn,,,contact@linuxtarn.org,,,,Albi,
GULL,Toulonux,,,contact@toulonux.tuxfamily.org,,,,Toulon,
GULL,PARINUX,,,contact@parinux.org,,,,Paris,
GULL,NUI,,,contact@fr,,,,Rouen,
GULL,@rrobe,,,contact@espace-public.net,,,,Saint-Germain-sur-Morin,
GULL,Alpinux,,,contact@alpinux.org,,,,Chambéry,
GULL,AGU3L,,,contact@agu3l.org,,,,Gruffy,
GULL,iTeam,,,contact@iteam.org,,,,Paris,
GULL,"Ubuntu Lyon",,,contact@ubuntu-lyon.org,,,,Lyon,
GULL,CAGULL,,,contact@cagull.fr,,,,Villefranche-sur-Saône,
GULL,ALDIL,,,contact@aldil.org,,,,Lyon,
GULL,"Flammekueche Connection",,,contact@strasbourg.linuxfr.org,,,,Strasbourg,
GULL,Perpinux,,,contact@perpinux.org,,,,Perpignan,
GULL,"Linux Arverne",,,contact@linuxarverne.org,,,,Clermont-Ferrand,
GULL,Bethunelibre,,,contact@bethunelibre.tuxfamily.org,,,,Bethune,
GULL,EPPLUG,,,contact@epplug.org,,,,Amiens,
GULL,LinuxCambresis,,,contact@linuxcambresis.org,,,,Proville,
GULL,GRAOULUG,,,contact@graoulug.org,,,,Metz,
GULL,MayLUG,,,contact@maylug.org,,,,Laval,
GULL,AGeNUx,,,contact@agenux.org,,,,Agen,
GULL,"Alternatives 46",,,contact@alternative46.com,,,,Cahors,
GULL,Cenabumix,,,contact@cenabumix.org,,,,Orléans,
GULL,n@utile,,,contact@nautile.org,,,,Saint-Nazaire,
GULL,Linux-Nantes,,,contact@linux-nantes.org,,,,Nantes,
GULL,LiLoLiPo,,,contact@lilolipo.net,,,,Pont-Château,
GULL,ALOLISE,,,contact@alolise.org,,,,Saint-Étienne,
GULL,GUILDE,,,contact@guilde.asso.fr,,,,Grenoble,
GULL,LUG-ADeTI.org,,,contact@adeti.org,,,,Tours,
GULL,CLLIC-36,,,contact@cllic-36.net,,,,,
GULL,GULLIVER,,,contact@gulliver.eu.org,,,,Rennes,
GULL,ACTUX,,,contact@actux.eu.org,,,,Rennes,
GULL,Montpel'libre,,,contact@montpel-libre.fr,,,,Montpellier,
GULL,ABUL,,,contact@abul.org,,,,Bordeaux,
GULL,Toulibre,,,contact@toulibre.org,,,,Toulouse,
GULL,CULTe,,,contact@culte.org,,,,Ramonville-Saint-Agne,
GULL,Gard-Linux,,,contact@gard-linux.fr,,,,Nîmes,
GULL,Finix,,,contact@finix.eu.org,,,,Morlaix,
GULL,G3L,,,contact@g3l.org,,,,Valence,
GULL,GMULL,,,contact@gmull.tuxfamily.org,,,,Mareuil,
GULL,BreizhTux,,,contact@breizhtux.info,,,,Saint-Brieuc,
GULL,"Pour une Informatique Libre",,,contact@pil-dijon.org,,,,Dijon,
GULL,COAGUL,,,contact@coagul.org,,,,Dijon,
GULL,Pullco,,,contact@pullco.fr,,,,Brive-la-Gaillarde,
GULL,"A.O.C ~ Atelier Ouvert à Conques",,,contact@openatelier.valleedhumbligny.org,,,,Humbligny,
GULL,3LC,,,contact@logicielslibrescognac.org,,,,Cognac,
GULL,CALVIX,,,contact@calvix.org,,,,Caen,
GULL,PLUG,,,contact@plugfr.org,,,,Marseille,
GULL,CERCLL,,,contact@cercll.wordpress.com,,,,Marseille,
GULL,ADELLA,,,contact@adella.org,,,,Carcasonne,
GULL,LoLiCA,,,contact@lolica.org,,,,Reims,
GULL,ILARD,,,contact@ilard.fr,,,,Charleville-Mézières,
GULL,"Linux Alpes",,,contact@linux-alpes.org,,,,Veynes,
GULL,LoLiTa,,,contact@lolita.pf,,,,,
GULL,LiLux,,,contact@lilux.lu,,,,Luxembourg,
